candidate,log_tau_s,log_f_Hz,log_v_m_s,log_h_m,log_log_tau_s,log_log_f_Hz,log_log_v_m_s,log_log_h_m,status
0,0.8748271317001469,0.648444929849704,0.7611652990335187,0.40056569010808374,-26.251373660527175,10.587101717741078,-4.195271961752419,-12.47767776932405,REGISTERED
1,0.4093039087516217,0.21841595173767425,0.10664612291579256,0.5556851201488016,-27.78403577411581,8.606745088628633,-5.58302510461856,-12.228022677661349,REGISTERED
2,0.6425474404089234,0.5177585164487603,0.28366178165451794,0.51558642728913,-27.01611807079151,9.985268543033339,-5.207705258058401,-12.292559034188756,REGISTERED
3,0.6585961098801183,0.28384008176118114,0.8444326586891371,0.3791673529153293,-26.96328034657184,8.908034341657096,-4.018723215318953,-12.512117064465118,REGISTERED
4,0.17493361573340505,0.2929272472838169,0.5468225139363013,0.7916759685162259,-28.555663162293193,8.949882285397077,-4.649735153241622,-11.848210059311329,REGISTERED
5,0.16116398442195679,0.8934661307977506,0.5033524286393292,0.4377897749123969,-28.600997511233878,11.715466047282021,-4.7419031900123,-12.417767915984326,REJECTED_Pulse budget exceeded: n_x=281
6,0.23772928131612026,0.755101444723517,0.05268187339130059,0.9527059121205147,-28.348918293741598,11.078273120179357,-5.697443535143743,-11.589042363037462,REJECTED_Pulse budget exceeded: n_x=386
7,0.34776381160895387,0.7948765586347085,0.5314686700901473,0.41077524939776666,-27.986646880731993,11.261444288907457,-4.682289348489132,-12.46124611753399,REJECTED_Pulse budget exceeded: n_x=168
8,0.9430972339315234,0.8713201869849208,0.39891894219179036,0.4115786829602571,-26.026605068923693,11.613480207094609,-4.963329703285263,-12.459953041098396,REJECTED_Pulse budget exceeded: n_x=316
9,0.8311316372833749,0.5069483866969507,0.8837408061280889,0.8281283804472981,-26.395234214685857,9.935486055793643,-3.9353795836285665,-11.789542165549797,REGISTERED
10,0.8310185028549315,0.665325469636477,0.526000393274488,0.3614223424918448,-26.39560669202677,10.664839476290512,-4.693883536427223,-12.540676556997212,REJECTED_Total pulse budget exceeded
11,0.8557946251412069,0.4460856186742972,0.034423705254765125,0.5340353367964129,-26.314035199826453,9.655202651059009,-5.736155663281449,-12.262866659784668,REJECTED_Pulse budget exceeded: n_x=97
12,0.9011998910374063,0.036403457313758825,0.2863109280127528,0.34314140642995183,-26.16454549154563,7.768546575830294,-5.202088369632978,-12.570098588570005,REGISTERED
13,0.6644193158376456,0.0317396608651167,0.658151128292283,0.8101711938019233,-26.944108355335405,7.747068999471491,-4.413689151686952,-11.818443142537518,REGISTERED
14,0.40927562235013504,0.6585410309915756,0.13784037256633352,0.038596339978355765,-27.784128902651084,10.633595981714347,-5.516885074545395,-13.060244964561967,REJECTED_Pulse budget exceeded: n_x=207
15,0.22681072640664635,0.24538519053384988,0.4212844626430723,0.910747015439403,-28.384865921314063,8.730943023071575,-4.915908905804272,-11.65657260211995,REGISTERED
16,0.6364853116598098,0.11136811367137989,0.21935771395350412,0.37043007297950936,-27.03607667780281,8.113771576291253,-5.344046828034203,-12.526179174045376,REGISTERED
17,0.6037815916891143,0.734504860842288,0.9595156436943341,0.049803618029716556,-27.14374854056193,10.983422346156319,-3.774716958575372,-13.042207546370916,REGISTERED
18,0.5846852641446968,0.2766936047011461,0.7826654809583617,0.16746150409113536,-27.206620200434514,8.875123598565375,-4.149685909995506,-12.852844483846816,REGISTERED
19,0.11302909452947729,0.590134432125303,0.9984007017017712,0.6644440788046436,-28.75947407790802,10.31857195209054,-3.692270387979178,-12.052981886283785,REGISTERED
20,0.8433743282158978,0.8699872493025976,0.02680816128986263,0.8044802609917209,-26.354927077177646,11.607341802220194,-5.7523026234585615,-11.827602345559374,REJECTED_Pulse budget exceeded: n_x=692
21,0.6345633867000648,0.5351397040405211,0.44450842509700983,0.09454478574382985,-27.042404313945866,10.065311869927982,-4.866667985047108,-12.970199414805249,REJECTED_Total pulse budget exceeded
22,0.053157462634731756,0.651514685540985,0.39815028122909724,0.506121243625098,-28.956592024683253,10.601238465128834,-4.964959467096161,-12.3077926596258,REJECTED_Pulse budget exceeded: n_x=115
23,0.7464768673608121,0.7725171851470433,0.3202279183945512,0.005296411517547672,-26.6739467518888,11.158475568744688,-5.1301754116688025,-13.113839131908135,REJECTED_Pulse budget exceeded: n_x=237
24,0.9753456956756058,0.6318703106312346,0.22800823792806368,0.07321378917055299,-25.92043207238957,10.510772775472077,-5.325705437481919,-13.004530329400284,REJECTED_Pulse budget exceeded: n_x=151
25,0.9897573866606104,0.1951218907483564,0.3916178571302217,0.14928880117834398,-25.872983842792,8.499471973450039,-4.978809927716002,-12.882092320886064,REGISTERED
26,0.13180551324315315,0.9632016523768988,0.3852370580735115,0.2714823579746156,-28.697655667627533,12.036609992162642,-4.992338903287764,-12.685429377922976,REJECTED_Pulse budget exceeded: n_x=497
27,0.7099312620040551,0.042479332102336564,0.8489584994874113,0.7743841266550386,-26.7942674190162,7.79652701326045,-4.009127240103726,-11.876040205178539,REGISTERED
28,0.6135885386649303,0.37350431971762754,0.1287460272127754,0.8561618021491099,-27.111460707562742,9.320953417043464,-5.536167483384156,-11.744424113847648,REGISTERED
29,0.7318548103549992,0.7047838543631003,0.5150236301402077,0.5127128792639793,-26.72208757857753,10.846552053220805,-4.717157167046343,-12.297183831323633,REJECTED_Pulse budget exceeded: n_x=115
30,0.386652445268831,0.8019189562371821,0.9345990678420628,0.5211837506862939,-27.85861216082649,11.293875728384243,-3.8275466658019064,-12.283550489705206,REGISTERED
31,0.6038049754644146,0.8060965865619004,0.3046044494172,0.7656783282035645,-27.143671553153553,11.313114427003715,-5.1633012832504335,-11.890051647264352,REJECTED_Pulse budget exceeded: n_x=286
32,0.555007001300856,0.47038704724722835,0.8982966803319576,0.7756981951745459,-27.304331220670573,9.76711486539999,-3.9045172943165882,-11.873925293483708,REGISTERED
33,0.49016536232314556,0.502576964379387,0.04908167013426912,0.3694148389019608,-27.517812135359804,9.915354912066434,-5.705076914832536,-12.527813130259776,REJECTED_Pulse budget exceeded: n_x=122
34,0.5486093397471572,0.7635910421152835,0.4526541749282518,0.19054972211251298,-27.325394516754518,11.117369160978964,-4.8493968487049175,-12.815685430432668,REJECTED_Pulse budget exceeded: n_x=172
35,0.3899059488755898,0.6285253869784447,0.7891585871098367,0.5914694680778524,-27.847900511076944,10.495368832791844,-4.135918813785858,-12.170429991432602,REGISTERED
36,0.973462418127049,0.3044741310962714,0.14173665992497064,0.061507682428843635,-25.926632467999834,9.003057650471261,-5.50862391853232,-13.02337058139739,REGISTERED
37,0.9839240395229466,0.9117765634814156,0.006795370531077705,0.1802072464273028,-25.892189222271632,11.799788705969377,-5.794735013962015,-12.832331002908873,REJECTED_Pulse budget exceeded: n_x=875
38,0.1850707570174983,0.07354958489795016,0.6245268062031636,0.17260157106962515,-28.522288216382186,7.939610815105922,-4.484981575741958,-12.844571865179185,REGISTERED
