"session_id","measurement_id","a","b","c","rmse_um","status"
"zro2_120_formal","1","0.004819573720795692","0.015005534740461623","38.161443669993446","0.2188877772242756","PASS"
"zro2_120_formal","2","0.0040788198818072635","0.01492928145825867","33.18987581905381","0.28930860407783754","PASS"
"zro2_120_formal","3","0.004262124877632061","0.01487069068763864","24.001072357323764","0.2561944868863207","PASS"
"zro2_120_formal","4","0.0053571215657197075","0.015997375834142236","23.117038064369254","0.23997225069364497","PASS"
"zro2_120_formal","5","0.005019747302102614","0.016158573454908176","25.938589490587088","0.22807839025000887","PASS"
"zro2_120_formal","6","0.005036811614798712","0.015779629935007575","18.991339835939648","0.19917423014288346","PASS"
"zro2_120_formal","7","0.0047489531072925","0.015647257982354723","24.310896485447493","0.23174339844583258","PASS"
"zro2_120_formal","8","0.0036141690519197146","0.01652590719905711","24.983333669934108","0.20228939453751327","PASS"
"zro2_120_formal","9","0.005191942912210309","0.015639926995345776","60.6160396261722","0.2713436573814032","PASS"
"zro2_120_formal","10","0.004980530439491847","0.016558859919734326","22.742018685256387","0.2093315666446699","PASS"
"zro2_120_formal","11","0.005229673672271425","0.015751419332600436","55.56674138049434","0.2143737188396115","PASS"
"zro2_120_formal","12","0.004832500677709993","0.015380250934784179","40.290692403126315","0.2242805796720924","PASS"
"zro2_120_formal","13","0.005315467935676924","0.01521857191716125","44.115827598345376","0.23451135777838517","PASS"
"zro2_120_formal","14","0.003175258094844356","0.01637555187199198","26.434131666303532","0.31664536399619553","PASS"
"zro2_120_formal","15","0.00367527125618236","0.01621559961395186","22.496939790703536","0.24217300497556526","PASS"
"zro2_120_formal","16","0.0016276294351164399","0.01570190319693565","54.72819257646978","0.2159776237265324","PASS"
"zro2_120_formal","17","0.0030906309875634733","0.01568395746449447","60.72972905981565","0.22871324418256442","PASS"
"zro2_120_formal","18","0.0036604315722035185","0.015679040727252472","20.286952385822584","0.19265280120954986","PASS"
"zro2_120_formal","19","0.003861406302290466","0.01581357518933072","21.86205398512488","0.21539769201656378","PASS"
"zro2_120_formal","20","0.0038036821576710716","0.015699498297993553","75.63559466260732","0.3106539926611552","PASS"
"zro2_120_formal","21","0.003981466146838648","0.015582559816375019","60.842805000302036","0.22275654402716813","PASS"
