dataset_index,session_id,measurement_id,sample_id,status,valid_fraction,repair_fraction,raw_path,repaired_path,mask_path
0,zro2_120_formal,1,1,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_001.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_001.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_001.npz
1,zro2_120_formal,2,2,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_002.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_002.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_002.npz
2,zro2_120_formal,3,3,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_003.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_003.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_003.npz
3,zro2_120_formal,4,4,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_004.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_004.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_004.npz
4,zro2_120_formal,5,5,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_005.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_005.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_005.npz
5,zro2_120_formal,6,6,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_006.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_006.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_006.npz
6,zro2_120_formal,7,7,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_007.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_007.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_007.npz
7,zro2_120_formal,8,8,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_008.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_008.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_008.npz
8,zro2_120_formal,9,9,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_009.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_009.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_009.npz
9,zro2_120_formal,10,10,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_010.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_010.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_010.npz
10,zro2_120_formal,11,11,PASS,1.0,0.0066015625,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_011.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_011.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_011.npz
11,zro2_120_formal,12,12,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_012.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_012.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_012.npz
12,zro2_120_formal,13,13,PASS,1.0,0.000546875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_013.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_013.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_013.npz
13,zro2_120_formal,14,14,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_014.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_014.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_014.npz
14,zro2_120_formal,15,15,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_015.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_015.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_015.npz
15,zro2_120_formal,16,16,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_016.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_016.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_016.npz
16,zro2_120_formal,17,17,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_017.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_017.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_017.npz
17,zro2_120_formal,18,18,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_018.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_018.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_018.npz
18,zro2_120_formal,19,19,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_019.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_019.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_019.npz
19,zro2_120_formal,20,20,PASS,1.0,0.018671875,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_020.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_020.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_020.npz
20,zro2_120_formal,21,21,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_021.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_021.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_021.npz
21,zro2_120_formal,22,22,PASS,1.0,0.0,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_022.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_022.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_022.npz
22,zro2_120_formal,23,23,PASS,1.0,0.0045703125,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_raw\zro2_120_formal__sample_023.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\H_stable_repaired\zro2_120_formal__sample_023.npz,outputs\rectangle_registration\manual_internal_roi_v1\registered\repair_masks\zro2_120_formal__sample_023.npz
