dataset_index,median_depth_um,Sq_um,Sa_um,Ssk_skewness,kurtosis_excess_fisher,grad_rms_um_per_um,lap_rms_um_per_px2,acf_e_fold_lag_um,aniso_gradx_over_y,pit_density_per_Mpx,pit_depth_um,peak_to_valley_p98p2_um,deepest_negative_residual_um,rms_DCT_8_16_um,E_DCT_8_16_frac,rms_DCT_16_32_um,E_DCT_16_32_frac,rms_DCT_32_64_um,E_DCT_32_64_frac,rms_DCT_64_inf_um,E_DCT_64_inf_frac
0,13.5066,0.5698619732077966,0.4302131832763552,-0.8683832715745423,0.8606866394446802,0.1375922963859377,0.058738836690324,26.75,0.9357132768889715,10156.25,2.608588695526123,2.218260231018067,2.608588695526123,0.1030365304961422,0.0326921210121534,0.1376329130798371,0.0583317826692023,0.1596482378958925,0.0784854050141962,0.5104522050524286,0.8023628519152859
1,8.6371,0.2474479139721646,0.1876985286734998,0.2263147492129335,2.163836159905178,0.1660174536332055,0.0963594361585658,3.75,1.169791651651312,1289.0625,1.0504846572875977,1.0339217567443848,1.0504846572875977,0.1291602401267871,0.2724520584998792,0.1087371577210393,0.1931027059616884,0.0738390494611198,0.0890439876391505,0.110213070530734,0.1983803307436088
2,3.897,0.2425357052854811,0.1922057778760791,-0.2044476694588118,0.0813713658817114,0.1933223083751537,0.1035854544647292,4.5,1.7280293948654324,664.0625,0.9572693109512328,0.9991762971878052,0.9572693109512328,0.1111059921035049,0.2098570663089332,0.0855976023734318,0.1245580596188748,0.063657909874927,0.0688895557361843,0.0970054159665095,0.1599707564953102
3,2.162,0.350995647916628,0.2870346651691943,-0.0655740774308949,-0.2366026811240136,0.2861270171719232,0.1859050817105116,21.0,1.9178438108706684,78.125,1.448561429977417,1.4020430898666385,1.448561429977417,0.2807287818920139,0.6396912633114532,0.0976280174378097,0.0773651687123991,0.0580780660178659,0.0273792047124396,0.0904505195602778,0.0664077351148954
4,4.774,0.3828374774317057,0.3121914247889071,0.1651885955735265,-0.2041715013568628,0.2798002913559437,0.1431457975481177,21.0,2.072526107372664,117.1875,1.5796504020690918,1.4664978313446049,1.5796504020690918,0.2863962251043359,0.5596360554958485,0.0841823461931048,0.0483518571039175,0.084633031654792,0.048870963837063,0.1458907618792905,0.1452200870326694
5,0.7912,0.7214708222399228,0.6459669410050407,-0.0516254681542636,-1.3251149280121697,0.4860298483732815,0.1988155492913429,21.0,3.4984543172425933,0.0,2.0300320088863373,2.3381036764383314,2.0300320088863373,0.6892220665389699,0.9126007118620216,0.0962299177783517,0.0177902759823751,0.0467244908236702,0.0041942239005982,0.059340365447606,0.0067649234893713
6,6.1178,0.8691893010855851,0.762839804533869,0.2404510144857071,-1.2591588765876176,0.5627609088852555,0.1473344738627559,21.0,4.166138580515877,0.0,1.7475953102111816,2.798418407440185,1.7475953102111816,0.8137978600038268,0.8766058066941096,0.1616724984893757,0.0345974074376825,0.0914890684626209,0.0110792322764852,0.1277449320606638,0.0216002419343023
7,2.6327,1.092760064340996,0.9501833926099676,0.2366919648593991,-1.0768332940873104,0.7232989095774868,0.2824522230210693,21.0,3.370397358450119,0.0,2.6173317432403564,3.701187837719917,2.6173317432403564,0.979539048864074,0.8035147938678739,0.2391044372916405,0.047876858020442,0.1453083608262152,0.0176820077777324,0.2566162410016084,0.05514658809466
8,57.0338,0.3400339414728189,0.1667512591183185,9.23201927084401,147.9673293233625,0.267714526979338,0.1394147445956845,3.0,0.7403232318753238,703.125,0.6732025146484375,1.048877868652344,0.6732025146484375,0.2102392241227921,0.3822812092734473,0.1466595587884569,0.1860270971178908,0.0901012116826063,0.0702128697111154,0.0634568539946907,0.0348267168783614
9,3.669,0.839902858973966,0.6703478494845331,-0.2916996552462086,-0.0199958676461879,0.473189929899149,0.1798564283623417,3.75,0.9386011788927784,429.6875,3.122002959251404,3.408631072044373,3.122002959251404,0.538889300530697,0.411662211378088,0.4456299116342512,0.2815078751501812,0.2627116899258154,0.0978364479985809,0.2269814251417299,0.0730335679192351
10,46.2398,2.211524272470053,0.9256468877196312,2.818716307442577,7.135904099873292,0.8132864859731272,0.4127026762705248,13.75,0.9860660951576932,0.0,0.8372402191162109,8.493546829223632,0.8372402191162109,0.7291672625229401,0.1087103522870588,0.7279894675960373,0.1083594448883115,1.4862147116816735,0.4516267852518787,1.162046655269947,0.276098285229275
