session_id,role,path,exists,bytes,sha256
zro2_120_formal,cag,氧化锆\pass实验数据\120正式.cag,1,9502214871,bf5cb81ea6229d8ba4e5583385ee569978d49ca02651278b2de68e605899f7a7
zro2_120_formal,design,氧化锆\pass实验数据\120正式_design记录表_0516.csv,1,3964,59690c4620adffa853f94c318d3737088c896eb37978b9773928b5be3276e32c
zro2_60_pass,cag,氧化锆\pass实验数据\60Pass组.cag,1,2375712940,9b9d1ed67d2e1268584506fa27779c6f23c8253bdc884dfad11c5c6612ad3fe0
zro2_60_pass,design,氧化锆\pass实验数据\60pass_design.csv,1,2062,e50cee4555b63d19d76686962a36b2815710fb22128482b968bddeff5e733abe
zro2_20_supplement,cag,氧化锆\pass实验数据\20补充pass.cag,1,791924743,3880da8e64c312ffef3b7367590d38da939425d148770eeb5a98cff3406159a9
zro2_20_supplement,design,氧化锆\pass实验数据\20补充_pass5_6实验.csv,1,700,a0245dbcc4d1641264e23363d42ed83a4315e9d2472d48930e7903df58f2736f
zro2_120_formal,height_csv,氧化锆/pass实验数据/csv文件/120正式/1_高度.csv,1,28279846,c7638379689597b0be2a0bbc0fed71da18c665bae06e7e9ea3588dc5d9a90707
zro2_120_formal,height_csv,氧化锆/pass实验数据/csv文件/fixture/120正式/2_高度.csv,1,28291343,a12f116436762ff3d7978c6e5f595dbc9aa782b59384d408dbbc04ff5a4bcd56
zro2_120_formal,height_csv,氧化锆/pass实验数据/csv文件/120正式/3_高度.csv,1,28298008,9ca18bc9076b1728a6a782e7281d3a9b24ab6d63d561767665c552d4c8c31ea9
zro2_120_formal,height_csv,氧化锆/pass实验数据/csv文件/120正式/4_高度.csv,1,28303265,600ec589b4cae373cfaa99600758bff7a79eb93a77ec84cbd8c87fb1af9b1baf
zro2_120_formal,height_csv,氧化锆/pass实验数据/csv文件/120正式/5_高度.csv,1,28302466,c276d7bf62aba36a989db33e31f3730570bc505dff5f4ecc8f7d2fd5ab8148f5
