statistic,permutation,A_null
lambda_peak_4_32,0,0.49038461538461536
lambda_peak_4_32,1,0.4807692307692308
lambda_peak_4_32,2,0.47115384615384615
lambda_peak_4_32,3,0.4326923076923077
lambda_peak_4_32,4,0.5384615384615384
lambda_peak_4_32,5,0.36538461538461536
lambda_peak_4_32,6,0.5384615384615384
lambda_peak_4_32,7,0.4326923076923077
lambda_peak_4_32,8,0.4423076923076923
lambda_peak_4_32,9,0.46153846153846156
lambda_peak_4_32,10,0.3557692307692308
lambda_peak_4_32,11,0.4519230769230769
lambda_peak_4_32,12,0.4423076923076923
lambda_peak_4_32,13,0.5288461538461539
lambda_peak_4_32,14,0.5384615384615384
lambda_peak_4_32,15,0.5384615384615384
lambda_peak_4_32,16,0.4519230769230769
lambda_peak_4_32,17,0.5
lambda_peak_4_32,18,0.5288461538461539
lambda_peak_4_32,19,0.5769230769230769
lambda_peak_4_32,20,0.46153846153846156
lambda_peak_4_32,21,0.4807692307692308
lambda_peak_4_32,22,0.46153846153846156
lambda_peak_4_32,23,0.5096153846153846
lambda_peak_4_32,24,0.4519230769230769
lambda_peak_4_32,25,0.4326923076923077
lambda_peak_4_32,26,0.5769230769230769
lambda_peak_4_32,27,0.4326923076923077
lambda_peak_4_32,28,0.49038461538461536
lambda_peak_4_32,29,0.5
lambda_peak_4_32,30,0.4326923076923077
lambda_peak_4_32,31,0.5096153846153846
lambda_peak_4_32,32,0.4807692307692308
lambda_peak_4_32,33,0.49038461538461536
lambda_peak_4_32,34,0.5192307692307693
lambda_peak_4_32,35,0.4519230769230769
lambda_peak_4_32,36,0.4230769230769231
lambda_peak_4_32,37,0.46153846153846156
lambda_peak_4_32,38,0.5
lambda_peak_4_32,39,0.5096153846153846
lambda_peak_4_32,40,0.40384615384615385
lambda_peak_4_32,41,0.46153846153846156
lambda_peak_4_32,42,0.4519230769230769
lambda_peak_4_32,43,0.47115384615384615
lambda_peak_4_32,44,0.5096153846153846
lambda_peak_4_32,45,0.34615384615384615
lambda_peak_4_32,46,0.5192307692307693
lambda_peak_4_32,47,0.46153846153846156
lambda_peak_4_32,48,0.5192307692307693
lambda_peak_4_32,49,0.49038461538461536
lambda_peak_4_32,50,0.41346153846153844
lambda_peak_4_32,51,0.5
lambda_peak_4_32,52,0.4519230769230769
lambda_peak_4_32,53,0.5096153846153846
lambda_peak_4_32,54,0.47115384615384615
lambda_peak_4_32,55,0.5384615384615384
lambda_peak_4_32,56,0.47115384615384615
lambda_peak_4_32,57,0.4807692307692308
lambda_peak_4_32,58,0.46153846153846156
lambda_peak_4_32,59,0.46153846153846156
lambda_peak_4_32,60,0.4807692307692308
lambda_peak_4_32,61,0.5096153846153846
lambda_peak_4_32,62,0.5480769230769231
lambda_peak_4_32,63,0.4230769230769231
lambda_peak_4_32,64,0.5288461538461539
lambda_peak_4_32,65,0.5288461538461539
lambda_peak_4_32,66,0.5096153846153846
lambda_peak_4_32,67,0.4326923076923077
lambda_peak_4_32,68,0.40384615384615385
lambda_peak_4_32,69,0.38461538461538464
lambda_peak_4_32,70,0.4423076923076923
lambda_peak_4_32,71,0.38461538461538464
lambda_peak_4_32,72,0.49038461538461536
lambda_peak_4_32,73,0.34615384615384615
lambda_peak_4_32,74,0.47115384615384615
lambda_peak_4_32,75,0.4230769230769231
lambda_peak_4_32,76,0.5769230769230769
lambda_peak_4_32,77,0.46153846153846156
lambda_peak_4_32,78,0.5
lambda_peak_4_32,79,0.5192307692307693
lambda_peak_4_32,80,0.4519230769230769
lambda_peak_4_32,81,0.3942307692307692
lambda_peak_4_32,82,0.46153846153846156
lambda_peak_4_32,83,0.4519230769230769
lambda_peak_4_32,84,0.40384615384615385
lambda_peak_4_32,85,0.5384615384615384
lambda_peak_4_32,86,0.5288461538461539
lambda_peak_4_32,87,0.47115384615384615
lambda_peak_4_32,88,0.5384615384615384
lambda_peak_4_32,89,0.5192307692307693
lambda_peak_4_32,90,0.4519230769230769
lambda_peak_4_32,91,0.4519230769230769
lambda_peak_4_32,92,0.4519230769230769
lambda_peak_4_32,93,0.46153846153846156
lambda_peak_4_32,94,0.49038461538461536
lambda_peak_4_32,95,0.40384615384615385
lambda_peak_4_32,96,0.5288461538461539
lambda_peak_4_32,97,0.4423076923076923
lambda_peak_4_32,98,0.4519230769230769
lambda_peak_4_32,99,0.46153846153846156
lambda_peak_4_32,100,0.47115384615384615
lambda_peak_4_32,101,0.5192307692307693
lambda_peak_4_32,102,0.4423076923076923
lambda_peak_4_32,103,0.5576923076923077
lambda_peak_4_32,104,0.5288461538461539
lambda_peak_4_32,105,0.3557692307692308
lambda_peak_4_32,106,0.49038461538461536
lambda_peak_4_32,107,0.3557692307692308
lambda_peak_4_32,108,0.5
lambda_peak_4_32,109,0.5
lambda_peak_4_32,110,0.5288461538461539
lambda_peak_4_32,111,0.5961538461538461
lambda_peak_4_32,112,0.5
lambda_peak_4_32,113,0.4423076923076923
lambda_peak_4_32,114,0.4326923076923077
lambda_peak_4_32,115,0.5
lambda_peak_4_32,116,0.4230769230769231
lambda_peak_4_32,117,0.47115384615384615
lambda_peak_4_32,118,0.46153846153846156
lambda_peak_4_32,119,0.5288461538461539
lambda_peak_4_32,120,0.5865384615384616
lambda_peak_4_32,121,0.49038461538461536
lambda_peak_4_32,122,0.49038461538461536
lambda_peak_4_32,123,0.5
lambda_peak_4_32,124,0.5
lambda_peak_4_32,125,0.375
lambda_peak_4_32,126,0.4326923076923077
lambda_peak_4_32,127,0.4326923076923077
lambda_peak_4_32,128,0.38461538461538464
lambda_peak_4_32,129,0.4807692307692308
lambda_peak_4_32,130,0.5769230769230769
lambda_peak_4_32,131,0.4807692307692308
lambda_peak_4_32,132,0.5
lambda_peak_4_32,133,0.47115384615384615
lambda_peak_4_32,134,0.5192307692307693
lambda_peak_4_32,135,0.46153846153846156
lambda_peak_4_32,136,0.5096153846153846
lambda_peak_4_32,137,0.4230769230769231
lambda_peak_4_32,138,0.49038461538461536
lambda_peak_4_32,139,0.5288461538461539
lambda_peak_4_32,140,0.5096153846153846
lambda_peak_4_32,141,0.5192307692307693
lambda_peak_4_32,142,0.47115384615384615
lambda_peak_4_32,143,0.5288461538461539
lambda_peak_4_32,144,0.5096153846153846
lambda_peak_4_32,145,0.5384615384615384
lambda_peak_4_32,146,0.46153846153846156
lambda_peak_4_32,147,0.5
lambda_peak_4_32,148,0.36538461538461536
lambda_peak_4_32,149,0.4326923076923077
lambda_peak_4_32,150,0.47115384615384615
lambda_peak_4_32,151,0.4807692307692308
lambda_peak_4_32,152,0.5
lambda_peak_4_32,153,0.4519230769230769
lambda_peak_4_32,154,0.4519230769230769
lambda_peak_4_32,155,0.47115384615384615
lambda_peak_4_32,156,0.5
lambda_peak_4_32,157,0.41346153846153844
lambda_peak_4_32,158,0.41346153846153844
lambda_peak_4_32,159,0.5384615384615384
lambda_peak_4_32,160,0.5192307692307693
lambda_peak_4_32,161,0.46153846153846156
lambda_peak_4_32,162,0.40384615384615385
lambda_peak_4_32,163,0.4423076923076923
lambda_peak_4_32,164,0.49038461538461536
lambda_peak_4_32,165,0.4326923076923077
lambda_peak_4_32,166,0.5384615384615384
lambda_peak_4_32,167,0.4519230769230769
lambda_peak_4_32,168,0.38461538461538464
lambda_peak_4_32,169,0.46153846153846156
lambda_peak_4_32,170,0.4807692307692308
lambda_peak_4_32,171,0.33653846153846156
lambda_peak_4_32,172,0.47115384615384615
lambda_peak_4_32,173,0.5384615384615384
lambda_peak_4_32,174,0.5865384615384616
lambda_peak_4_32,175,0.49038461538461536
lambda_peak_4_32,176,0.4423076923076923
lambda_peak_4_32,177,0.40384615384615385
lambda_peak_4_32,178,0.4230769230769231
lambda_peak_4_32,179,0.47115384615384615
lambda_peak_4_32,180,0.5096153846153846
lambda_peak_4_32,181,0.4423076923076923
lambda_peak_4_32,182,0.41346153846153844
lambda_peak_4_32,183,0.40384615384615385
lambda_peak_4_32,184,0.41346153846153844
lambda_peak_4_32,185,0.41346153846153844
lambda_peak_4_32,186,0.46153846153846156
lambda_peak_4_32,187,0.4326923076923077
lambda_peak_4_32,188,0.4519230769230769
lambda_peak_4_32,189,0.4519230769230769
lambda_peak_4_32,190,0.5
lambda_peak_4_32,191,0.4423076923076923
lambda_peak_4_32,192,0.5096153846153846
lambda_peak_4_32,193,0.4519230769230769
lambda_peak_4_32,194,0.5384615384615384
lambda_peak_4_32,195,0.4807692307692308
lambda_peak_4_32,196,0.38461538461538464
lambda_peak_4_32,197,0.3269230769230769
lambda_peak_4_32,198,0.47115384615384615
lambda_peak_4_32,199,0.4326923076923077
lambda_peak_4_32,200,0.46153846153846156
lambda_peak_4_32,201,0.4519230769230769
lambda_peak_4_32,202,0.3557692307692308
lambda_peak_4_32,203,0.46153846153846156
lambda_peak_4_32,204,0.47115384615384615
lambda_peak_4_32,205,0.5576923076923077
lambda_peak_4_32,206,0.5288461538461539
lambda_peak_4_32,207,0.4326923076923077
lambda_peak_4_32,208,0.4519230769230769
lambda_peak_4_32,209,0.4519230769230769
lambda_peak_4_32,210,0.34615384615384615
lambda_peak_4_32,211,0.49038461538461536
