加工顺序,脉宽_fs,频率_kHz,重复扫描次数,速度_mm/s
1,500,10,1,10
2,500,20,2,15
3,500,10,2,15
4,223,5,5,15
5,500,20,3,15
6,1000,2,1,20
7,2000,40,4,10
8,2000,2,1,25
9,223,10,4,5
10,2000,2,1,10
11,500,20,5,5
12,4000,10,1,5
13,223,10,5,25
14,4000,10,1,10
15,2000,5,1,25
16,500,40,3,20
17,223,20,4,5
18,500,5,4,20
19,500,10,5,5
20,1000,5,4,25
21,4000,20,3,10
22,4000,5,2,20
23,4000,40,2,20
24,2000,5,4,10
25,2000,20,5,15
26,223,5,3,25
27,4000,2,5,5
28,4000,2,4,10
29,1000,20,1,25
30,223,2,4,15
31,1000,20,5,25
32,1000,20,4,20
33,1000,5,1,5
34,223,40,2,10
35,223,2,4,20
36,2000,40,1,15
37,2000,2,5,10
38,2000,5,3,10
39,223,10,5,15
40,2000,40,2,20
41,4000,10,3,5
42,4000,5,1,25
43,4000,40,4,15
44,2000,40,1,20
45,2000,20,5,5
46,500,5,3,15
47,500,10,3,20
48,4000,10,5,5
49,223,2,4,10
50,2000,5,4,25
51,4000,10,1,25
52,223,2,4,25
53,4000,20,2,25
54,223,20,1,15
55,223,40,4,20
56,1000,40,4,15
57,1000,40,3,10
58,2000,5,4,5
59,1000,10,5,5
60,500,2,1,20
61,1000,2,3,15
62,1000,5,5,15
63,4000,20,1,15
64,223,2,3,25
65,500,10,2,5
66,500,5,3,5
67,500,40,5,15
68,4000,5,5,25
69,1000,10,1,15
70,4000,10,3,20
71,223,20,1,10
72,2000,40,3,10
73,2000,2,1,20
74,4000,10,2,10
75,223,5,1,20
76,1000,10,2,15
77,223,2,3,10
78,1000,10,5,15
79,500,5,2,5
80,223,2,2,25
81,223,40,4,10
82,500,2,5,25
83,500,20,5,15
84,2000,2,2,20
85,223,20,5,5
86,1000,5,2,20
87,1000,20,2,25
88,4000,20,3,25
89,1000,40,2,25
90,2000,10,4,5
91,4000,10,3,25
92,223,40,3,20
93,2000,20,3,5
94,1000,40,3,25
95,4000,2,2,5
96,500,20,5,10
97,500,40,4,15
98,1000,5,5,20
99,1000,2,4,5
100,2000,5,2,20
101,223,40,5,10
102,4000,20,1,5
103,1000,40,4,10
104,2000,10,3,15
105,223,5,5,20
106,4000,40,4,20
107,1000,40,2,10
108,500,5,3,10
109,2000,2,1,5
110,4000,20,2,10
111,1000,10,1,20
112,500,5,1,25
113,2000,40,5,15
114,500,2,2,10
115,1000,10,2,5
116,223,20,2,25
117,4000,2,2,15
118,500,2,3,25
119,500,20,4,20
120,2000,40,3,5
