registration_method,evidence_level,session_id,measurement_id,sample_id,roi_within_measurement,theta_session_deg,d4_transform_session,initializer_search_x_min_um,initializer_search_x_max_um,initializer_search_y_min_um,initializer_search_y_max_um,center_x_um,center_y_um,delta_u_um,delta_v_um,left_evidence,right_evidence,top_evidence,bottom_evidence,joint_evidence_total,x_pair_evidence,y_pair_evidence,outer_reference_scale_um,influence_u_mad_um,influence_v_mad_um,influence_u_ci_span_um,influence_v_ci_span_um,influence_u_q025_um,influence_u_q975_um,influence_v_q025_um,influence_v_q975_um,influence_replicates,u_multimodal,v_multimodal,local_search_boundary_hit,global_search_boundary_hit,initialization,status,warning,qa_v2_status,qa_v6_vs_v2_center_shift_um,qa_v3_status,qa_v6_vs_v3_center_shift_um,qa_v4_status,qa_v6_vs_v4_center_shift_um,qa_v5_status,qa_v6_vs_v5_center_shift_um,qa_v2_region_score,qa_v2_edge_score,qa_v2_weight_sensitivity_span_um,paired_center_separation_um,slot_assignment_conflict
feasible_domain_multiband_block_consensus,3,zro2_120_formal,1,1,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,11.316800749476915,1.505765970533543,-0.25,-1.5,54.486508305094816,70.86383681733591,175.86339151745307,88.50243718089362,389.71617382077744,125.35034512243072,264.3658286983467,0.16748372944898063,0.0,0.0,1.25,0.5,-0.75,0.5,-2.0,-1.5,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,4.305720280911799,PASS,1.1038937125840107,PASS,1.0223003270054314,PASS,0.15520760603600628,84.98598622985628,11.536901161262923,4.031128874149275,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,2,2,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,1.3248279654734494,2.328022870732289,-0.75,-1.5,37.675940133550554,45.53487505618529,134.59889005728408,90.13195669453123,307.94166194155116,83.21081518973585,224.7308467518153,0.16938108898525642,0.0,0.0,0.0,1.0,-0.75,-0.75,-2.5,-1.5,12,False,False,False,False,fixed-domain_component,PASS,,PASS,2.0080448596186535,PASS,0.8897568816571304,PASS,1.403903710898038,PASS,0.703939481906986,44.32061438938943,10.024543858583003,1.5,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,3,3,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,0.9502314268151953,23.745348684688267,-0.25,-0.5,15.451213409981516,16.103498143372974,48.991005139033206,63.82309015040051,144.3688068427882,31.55471155335449,112.81409528943371,0.2260514192172326,0.0,0.0,0.4312499999999999,1.0,-0.25,0.1812499999999999,-1.5,-0.5,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,5.102736457318091,PASS,0.13491198532627863,PASS,2.135067470764816,PASS,0.706113666274127,17.471984132379472,7.3745125684606405,3.905124837953327,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,4,4,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,4.217566095336564,1.9063039813549236,-0.5,-0.5,7.830337799849466,6.042902936851505,45.39396628284849,60.39226239095525,119.65946941050473,13.873240736700971,105.78622867380375,0.2146572289178757,0.0,0.0,1.7249999999999996,0.75,-1.5,0.22499999999999964,-1.25,-0.5,12,False,False,False,False,fixed-domain_component,PASS,,PASS,12.512554403144074,REVIEW,0.1994525883767308,PASS,2.4477083483602797,PASS,0.6686135270029661,10.155611686369788,6.264425296518374,2.23606797749979,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,5,5,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-13.713091886177946,10.381420628553295,-0.75,-0.25,22.510754913063504,24.776215826143115,69.37713008350102,76.98356132173811,193.64766214444575,47.28697073920662,146.36069140523912,0.20356002290848413,0.0,0.125,1.0,0.75,-0.75,0.25,-0.5,0.25,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,3.8040106056558263,PASS,0.6241405026854955,PASS,0.38019445287104137,PASS,0.22262435578906814,20.766748843947354,6.72309721305988,3.605551275463989,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,6,6,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-7.25887441454796,2.2511708433712236,0.75,0.25,0.0,8.218876628760238,25.3896722694502,31.321073547256415,64.92962244546686,8.218876628760238,56.71074581670662,0.16904910280341026,2.125,0.0,19.5,0.5,-18.75,0.75,-0.25,0.25,12,True,False,False,False,fixed-domain_component,STOP,delete-one CI span above hard maximum; delete-one centre distribution is multimodal; delete-one CI span above review threshold; delete-one MAD above review threshold,REVIEW,15.640204231227342,STOP,7.191879645678927,STOP,5.192729126356503,STOP,2.5573001095058983,5.3262871792857664,2.7374647017275584,4.6097722286464435,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,7,7,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-16.703619929808085,6.845786560439409,-0.75,-0.5,29.233709049671216,32.08271320002997,72.8430664625231,83.38088753894499,217.54037625116928,61.31642224970119,156.2239540014681,0.16534599500116517,0.0,0.125,1.0,0.7937499999999998,-0.75,0.25,-0.68125,0.11249999999999982,12,False,False,False,False,fixed-domain_component,PASS,,PASS,6.34745432141637,REVIEW,0.6266973174749736,PASS,2.5625317851397265,REVIEW,0.20280835823026275,32.94362423958741,6.540467153920149,2.0,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,8,8,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,8.393118013755375,-5.3764548465824635,0.5,-0.75,3.923901857774212,13.470644196543532,65.4832323485289,71.61328949835358,154.4910679012002,17.394546054317743,137.09652184688247,0.1961542770257498,0.5,0.25,3.8625,1.0,-3.3625,0.5,-1.5,-0.5,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,11.595505983298423,STOP,1.1777930748266834,STOP,3.7227179893832925,REVIEW,0.9664383424966445,13.31356336767402,6.557227186407554,3.0413812651491097,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,9,9,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,15.390553713903888,5.568584493310202,-0.5,-0.75,104.50435160323977,190.68628180782764,201.15070449236663,66.44882485948837,562.7901627629224,295.19063341106744,267.599529351855,0.22781378117627868,0.125,0.5,0.5,1.0,-0.75,-0.25,-1.25,-0.25,12,False,False,False,False,fixed-domain_component,PASS,,REVIEW,3.1518352300664505,PASS,1.328974231322079,PASS,0.9513394153875704,PASS,0.26190753803600114,242.10025850571768,18.423793438149712,4.031128874149275,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,10,10,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,4.52778156924637,3.8453032518815156,-7.5,0.25,0.026541150796035202,29.529296981580085,33.46385768087511,19.393901843716577,82.41359765696781,29.55583813237612,52.857759524591685,0.20746691252321994,0.0,0.125,1.75,1.25,-7.75,-6.0,0.0,1.25,12,False,False,False,False,fixed-domain_component,PASS,,PASS,14.765767814523096,REVIEW,3.369932155234679,PASS,1.4367436183416147,PASS,1.2830289657353457,19.56148692975407,2.5819889183754623,2.0,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,11,11,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,4.94792000693199,-0.24910317490618977,-0.25,-0.5,120.12347731422219,229.0154054999962,267.1324127792161,92.77116375968073,709.0424593531152,349.1388828142184,359.90357653889686,0.17485618496748886,0.125,0.0,0.5,0.75,-0.75,-0.25,-0.5,0.25,12,False,False,False,False,fixed-domain_component,PASS,,PASS,4.250899539908003,PASS,1.5721258369978792,PASS,0.2633686390039204,PASS,0.6327862897567333,228.68451048992904,15.751017057170499,2.1213203435596424,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,12,12,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-3.189073110399103,7.146529841304238,-1.25,-0.5,33.60768385565011,59.767655270640965,138.30811613255023,72.76819522175445,304.45165048059573,93.37533912629107,211.07631135430466,0.2309000875625211,0.75,0.0,1.5,0.18125000000000002,-2.0,-0.5,-0.68125,-0.5,12,False,False,False,False,fixed-domain_component,PASS,,PASS,8.021351773442353,PASS,0.6535639964201473,PASS,2.5975237970739764,STOP,0.38237687007689836,71.37218143318687,9.760404682757377,2.5,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,13,13,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,10.540083758624434,11.820951348129825,-1.25,1.25,105.88911592023715,141.9247513949765,183.40613642274565,75.84644944921799,507.0664531871773,247.81386731521366,259.2525858719636,0.19916701022480357,0.0,0.0,1.0,0.0,-1.25,-0.25,1.25,1.25,12,False,False,False,False,fixed-domain_component,PASS,,PASS,4.076109902561104,PASS,0.8890621946289402,PASS,1.772912012122955,PASS,1.0103169769784761,140.12567005978514,13.626734392458483,2.6925824035672505,,
feasible_domain_multiband_block_consensus,3,zro2_120_formal,14,14,single,-0.7000000000025182,identity,-237.43417599999992,237.43417599999992,-149.32563199999993,149.32563199999993,-1.1644721309298833,8.26880201547472,-0.25,-0.75,20.412104179494605,30.651297038644696,64.30949223851239,43.848942766218215,159.2218362228699,51.063401218139305,108.1584350047306,0.25001335682776,0.0,0.125,1.0,2.75,-0.5,0.5,-2.5,0.25,12,False,False,False,False,fixed-domain_component,PASS,,PASS,10.599079896372109,REVIEW,1.072514693471343,PASS,1.9011180509270977,PASS,0.07244200619745501,30.3878222669547,6.493006226538168,2.692582403567252,,
