split,family_index,family_id,token_count,token_dt,seed_spawn_key
train,0,5c63d692d3161d614b5f758abfe3bb106c7dd66d9f52366485dac03d7a88a4d6,128,0.06335029162041447,"(0,)"
train,1,5b7bc51925058626c83e12a720b0f40254af1641e83f00783ddf2eacffbdca18,128,0.056878709795675934,"(0,)"
train,2,ec43e7ebcd52a532cb035d548c8de90e6ee6f8282eb972c31b9bc35013310637,64,0.050019031372265266,"(0,)"
train,3,a87296536140b295597511f6bbf6249dfaef7f2629e45abec87f377e55ae23af,32,0.020162431448368892,"(0,)"
train,4,db49ba837e6aa01eaaeba38b440b9d6b250fb29e16fbcc15891a76d418a032a4,32,0.03723674804070274,"(0,)"
train,5,08507257288ec999aee54290ca1ead2d1aa2752e3cfc4fa8c6b052866b6d0e8a,32,0.023935691271871617,"(0,)"
train,6,1bba13caf9001d641af07b96266ef2a85a6694f120a273aebfed56685171f96b,32,0.044043979218516355,"(0,)"
train,7,b425aac80f497b5ef939491434672e3b720431c2f78a68a3d9a01e130312dac5,128,0.05979692377111691,"(0,)"
train,8,50bf5545614013cf7ff01d2650b34c7cee9bc4c644611d90a6f26d6ab59c62d3,128,0.07980416052180962,"(0,)"
train,9,08ab2d4db2e1f9a9a139401ffefa2c91cc875554ebc63cddda2183a0aeb2a478,32,0.013771301726414014,"(0,)"
train,10,f121122b1c8933efa1741b1952eed28572d64b3df274b57ec6302a455c3fe26c,64,0.07751328633959201,"(0,)"
train,11,987db480457508762d9572976d8bdb55f4179081eebf1a74697b1959c7ad7a70,128,0.07914398181381721,"(0,)"
train,12,814de2a191628b0126bef1335a8cd14751b38727fd31610568813451345783c9,128,0.03419715893191816,"(0,)"
train,13,dab0f17c2654758839e28b0bb091273f7686800955bdc51d68b61514e2ff8fef,128,0.07986577140227388,"(0,)"
train,14,ecfab7fd5f9f5389cc01272387555ffe538b20105e5009c3e31bdbd5cdd719f4,32,0.022183217533629947,"(0,)"
train,15,786f17901a1b5598eab82e6036cbc7800a09690367c18a3436d05f27f3e2cde4,128,0.011365454379881852,"(0,)"
train,16,13fc2af09dd950874137b8ac32d685b3d7700cb5ebbcfa5ca48236467635e1a3,64,0.06147947139705691,"(0,)"
train,17,356186b1d695653815e53d096af0866faa9bd3cbe18cd4744f755c525a1de6d2,32,0.0488911429180555,"(0,)"
train,18,38078e2dbe0bc624645de6663b67cebe8d50bd7bdcd2bb81f3ac7b7a48652340,64,0.02633262799150355,"(0,)"
train,19,42c52b8ad820d821daf86d45beab25d176388fd5647afdb5fc4d022ac3194907,64,0.011888199264477862,"(0,)"
train,20,6d408f273052af0aaa1111be7dde1fe50a1ed6294fb1509c665ccd4af2921a45,64,0.046172035296707895,"(0,)"
train,21,fc3dd69a1e82b170c0b992645ee911b88b82089badf9ed914657fcbc95506c4f,64,0.013330152702436652,"(0,)"
train,22,d5d8db8c4afcc3b750cf17bde050ccf4503b479de8dd4ebfda2f1fcb82136114,32,0.04225864176202997,"(0,)"
train,23,be3a40dea3d17a7e395e73ee53152f49d2ba1685b2057fefd2ab6bc028e7b190,128,0.013032549981135639,"(0,)"
train,24,4233235495a437279b1a49b559326bab3f86448690779e90c076f099133abcbd,32,0.038357316530080246,"(0,)"
train,25,d6df2b0e205ae31c1c5d604deb4646db38ea5ffa571cb1f9b588a12dbdc1f8d1,32,0.06979245467251784,"(0,)"
train,26,bbdc1f4e448f13998ae9879f3fa97af9b5e21c91cbdbc28d525688abbabd9fa2,64,0.01701255583370706,"(0,)"
train,27,9d90c38b46e30187260cad3bbcf3fe9d806064813f2c9b214926cb4d29a8d02b,32,0.07775867965004009,"(0,)"
train,28,1402fed8171db7d2e47b480f600428281fa2350e186afdbbaa89f90383f06e0f,64,0.06578963944112683,"(0,)"
train,29,69ac6749b291b451e2a4d6957ff9ff01d3543dfaa8630cb1cf3d72be0eeca733,64,0.07686680046858424,"(0,)"
train,30,68406560138fd42b03465a94793f1cc6c0b178113e99afa891845c93bc91e0b8,64,0.046320489738827124,"(0,)"
train,31,0d066491d6af930e53394a29cddab6d703b790d9d18698187552bbfd59c3e9b4,32,0.03918407836086371,"(0,)"
train,32,c82be1a5ec4b35c53384ef3f9dc0459747fdec3dafd948088cd2e80aaf7eac22,32,0.021535855664654574,"(0,)"
train,33,0cda55d045076c72ba8208b83078bed83a80f4ddfa36abf7720db51eb4aa91f0,128,0.031976710290363114,"(0,)"
train,34,bd5465f7dfb1ad242b8af81bf0c2c4f0b120d398bc0c13e6c6e34cfef6ceed6d,32,0.01851025823254246,"(0,)"
train,35,2d756f697dfb3efc93e51af15c9495b0ea26e3adfc2d8820022e6b7c6cb04cfe,128,0.04462779850895048,"(0,)"
train,36,efa36af173fce4bf3ed527171f1753f849e641918e1600161e010bb27e4ed40c,32,0.048699289126098444,"(0,)"
train,37,6bb61a75105dbc85576c41442d366d8f0b610ea8d8ed6022e1b2ef99dcbc24d6,128,0.05196833946164241,"(0,)"
train,38,c0cef4e2b01ca2b1449c11267e22e69f7c45928203086257f617502918e146e5,128,0.018319710020458953,"(0,)"
train,39,2bdd3978ce999dbde76a4fb1d753f57b9eeb417954c7b2bc137586b17ff74ee3,128,0.059351332434107146,"(0,)"
train,40,ca6c528ead356c48a3a178306649fa3e9a872e84f99738a204561e20e6525bd4,32,0.07410781203808284,"(0,)"
train,41,bfe0f0e440dc8172c01b4e8d532fcd4e8cd94df58d285b040934979cdba8f4f5,32,0.032105150140640255,"(0,)"
train,42,1dfaa1dff9055e85fefdbe94b9ca2ba2252d3a8caee7ed14fe6121d2f16a06ef,64,0.03688241175552484,"(0,)"
train,43,d4a2e53bdc41d07f6e968b4ca163bf6001e524c52076d9d71b5b1b74516edfbe,32,0.04984735764567591,"(0,)"
train,44,33162aeb8177a3c50990349f111a08b91fdeece925c162e91f96c37092184034,32,0.05341857227847594,"(0,)"
train,45,0610bf95381f408d0510766c115d9c8eba79b0e431f87757e59980696db2a73d,128,0.052474116185085296,"(0,)"
