fold,session_id,n_rows,n_components,n_component_pairs,n_roi_pairs,metric_status,split_level,parent_outer_fold
0,zro2_120_formal,24,22,231,274,VALID,outer,-1
0,zro2_60_pass,12,3,3,48,VALID,outer,-1
1,zro2_120_formal,24,22,231,274,VALID,outer,-1
1,zro2_60_pass,12,3,3,48,VALID,outer,-1
2,zro2_120_formal,24,22,231,274,VALID,outer,-1
2,zro2_60_pass,12,3,3,48,VALID,outer,-1
3,zro2_120_formal,24,22,231,274,VALID,outer,-1
3,zro2_60_pass,12,3,3,48,VALID,outer,-1
4,zro2_120_formal,24,23,253,275,VALID,outer,-1
4,zro2_60_pass,12,3,3,48,VALID,outer,-1
0,zro2_120_formal,32,29,406,493,VALID,inner,0
0,zro2_60_pass,16,4,6,96,VALID,inner,0
1,zro2_120_formal,32,30,435,494,VALID,inner,0
1,zro2_60_pass,16,4,6,96,VALID,inner,0
2,zro2_120_formal,32,30,435,494,VALID,inner,0
2,zro2_60_pass,16,4,6,96,VALID,inner,0
0,zro2_120_formal,32,29,406,493,VALID,inner,1
0,zro2_60_pass,16,4,6,96,VALID,inner,1
1,zro2_120_formal,32,30,435,494,VALID,inner,1
1,zro2_60_pass,16,4,6,96,VALID,inner,1
2,zro2_120_formal,32,30,435,494,VALID,inner,1
2,zro2_60_pass,16,4,6,96,VALID,inner,1
0,zro2_120_formal,32,29,406,493,VALID,inner,2
0,zro2_60_pass,16,4,6,96,VALID,inner,2
1,zro2_120_formal,32,30,435,494,VALID,inner,2
1,zro2_60_pass,16,4,6,96,VALID,inner,2
2,zro2_120_formal,32,30,435,494,VALID,inner,2
2,zro2_60_pass,16,4,6,96,VALID,inner,2
0,zro2_120_formal,32,29,406,493,VALID,inner,3
0,zro2_60_pass,16,4,6,96,VALID,inner,3
1,zro2_120_formal,32,30,435,494,VALID,inner,3
1,zro2_60_pass,16,4,6,96,VALID,inner,3
2,zro2_120_formal,32,30,435,494,VALID,inner,3
2,zro2_60_pass,16,4,6,96,VALID,inner,3
0,zro2_120_formal,32,29,406,493,VALID,inner,4
0,zro2_60_pass,16,4,6,96,VALID,inner,4
1,zro2_120_formal,32,29,406,493,VALID,inner,4
1,zro2_60_pass,16,4,6,96,VALID,inner,4
2,zro2_120_formal,32,30,435,494,VALID,inner,4
2,zro2_60_pass,16,4,6,96,VALID,inner,4
